# Time(ps) CRYO_average_angle(degrees) CRYO_std
2.740000000000000000e+05 4.320741380907606555e+01 6.308992718642063124e+00
2.750000000000000000e+05 4.290313468529207341e+01 5.116298755142787869e+00
2.760000000000000000e+05 4.068317841553736258e+01 3.588294483785825051e+00
2.770000000000000000e+05 4.295438700404758237e+01 5.271153496017115359e+00
2.780000000000000000e+05 4.337995700390170128e+01 5.275703324563075114e+00
2.790000000000000000e+05 4.372376471252401586e+01 4.063749738862463268e+00
2.800000000000000000e+05 4.012751575607876475e+01 3.890858252978813603e+00
2.810000000000000000e+05 4.213392655054487079e+01 3.692935060857992724e+00
2.820000000000000000e+05 4.209433995159241704e+01 4.591287599864256386e+00
2.830000000000000000e+05 4.088525049641922493e+01 3.432362629964577749e+00
2.840000000000000000e+05 4.144351867126552236e+01 3.358635450572097003e+00
2.850000000000000000e+05 4.271090594799618145e+01 4.670680219232350439e+00
2.860000000000000000e+05 4.369849991825962832e+01 7.370288807579625789e+00
2.870000000000000000e+05 4.534008085448446934e+01 3.977739929131470564e+00
2.880000000000000000e+05 4.358284172737201345e+01 6.493978992403242501e+00
2.890000000000000000e+05 4.500038990632944547e+01 7.882733200611117041e+00
2.900000000000000000e+05 4.433233744190736303e+01 9.368403169555465482e+00
2.910000000000000000e+05 4.613226920729155722e+01 9.252823723280396706e+00
2.920000000000000000e+05 4.576243148883093426e+01 1.426796664543186921e+01
2.930000000000000000e+05 4.300955813352521773e+01 7.424301125922201372e+00
2.940000000000000000e+05 4.343507304911709355e+01 1.283404802632260377e+01
2.950000000000000000e+05 4.507998951479983418e+01 1.449646257172728347e+01
2.960000000000000000e+05 4.334917938190152142e+01 9.675614691536065237e+00
2.970000000000000000e+05 4.440276490598044745e+01 1.265922837484019858e+01
2.980000000000000000e+05 4.292319435508686354e+01 1.130162135517865529e+01
2.990000000000000000e+05 4.126652680604219370e+01 1.097436673768343418e+01
3.000000000000000000e+05 4.456293326167519098e+01 1.255119401549587366e+01
